raw_id,lead_id,sales_exec,assigned_to_user_id_or_blank
2165,5075,,
15447,5614,,
11904,5141,,
4083,5141,,
2168,5075,,
2174,5075,,
2175,5075,,
2176,5075,,
2178,5075,,
11905,5142,,
2179,5075,,
9424,5075,,
2184,5075,,
7626,5614,,
11906,5143,,
563,5144,,
9428,5075,,
11907,5144,,
9427,5274,,
15791,5614,,
15792,5614,,
960,5275,,
9431,5075,,
9430,5075,,
15793,5614,,
2205,5075,,
2206,5075,,
9434,5075,,
2207,5075,,
15794,5614,,
9433,5276,,
15795,5614,,
2212,5075,,
2214,5075,,
2213,5442,,
2215,5075,,
2218,5075,,
9436,5277,,
2217,5075,,
9439,5075,,
2220,5075,,
2221,5075,,
9441,5274,,
2226,5075,,
15796,5614,,
2225,5075,,
15797,5614,,
2228,5075,,
2230,5075,,
15798,5614,,
9446,5075,,
2238,5075,,
15799,5614,,
572,5144,,
9448,5075,,
2239,5075,,
2242,5075,,
9041,5144,,
11916,5144,,
15800,5614,,
2244,5075,,
4095,5144,,
980,5144,,
15801,5614,,
2255,5075,,
11917,5140,,
9451,5285,,
2252,5075,,
2253,5075,,
2257,5075,,
15802,5614,,
11918,5148,,
983,5286,,
2258,5075,,
2259,5075,,
2260,5075,,
2263,5075,,
15448,5614,,
2265,5075,,
2267,5075,,
2268,5075,,
2266,5075,,
15803,5614,,
2269,5075,,
8612,5614,,
15804,5614,,
2282,5075,,
15805,5241,,
2283,5075,,
2285,5557,,
2286,5075,,
9462,5289,,
2287,5075,,
2290,5075,,
2289,5075,,
2296,5075,,
15807,5614,,
9463,5075,,
2298,5075,,
2301,5075,,
15808,5614,,
2300,5075,,
2302,5075,,
11924,5150,,
2304,5075,,
15809,5614,,
2305,5075,,
15810,5614,,
581,5075,,
2339,5075,,
2341,5075,,
2342,5580,,
5231,5075,,
2312,5075,,
15811,5614,,
5235,5075,,
2313,5075,,
11925,5075,,
2319,5075,,
2322,5075,,
2321,5075,,
11926,5075,,
15812,5614,,
2324,5075,,
15813,5614,,
2325,5075,,
11927,5151,,
2327,5075,,
2330,5075,,
2329,5075,,
11928,5152,,
2331,5075,,
2333,5075,,
15814,5614,,
9475,5290,,
9054,5075,,
2338,5075,,
11929,5075,,
4108,5075,,
15815,5614,,
2344,5075,,
1007,5291,,
2345,5075,,
2346,5075,,
15816,5614,,
586,5153,,
9055,5153,,
11930,5153,,
2354,5075,,
11932,5154,,
9478,5293,,
2353,5075,,
15449,5614,,
2357,5075,,
15450,5614,,
9058,5155,,
9479,5292,,
2358,5075,,
9481,5295,,
11933,5155,,
2360,5075,,
2361,5075,,
4112,5155,,
9480,5294,,
9483,5075,,
9482,5296,,
9484,5256,,
15452,5614,,
15453,5614,,
11937,5151,,
1020,5298,,
11938,5153,,
9489,5298,,
7632,5614,,
9491,5299,,
15454,5614,,
15455,5614,,
11940,5155,,
597,5156,,
11941,5156,,
15456,5614,,
9495,5075,,
4550,5075,,
15457,5614,,
9497,5300,,
15458,5624,,
15459,5614,,
9499,5301,,
9500,5302,,
7638,5614,,
15460,5614,,
602,5075,,
11946,5075,,
15461,5614,,
11947,5075,,
15462,5614,,
